Latitude (decimal degrees): 67.554
Longitude (decimal degrees): 133.390
Elevation (m): 141.0
month,year
1,2019
2,2005
3,2016
4,2008
5,2017
6,2010
7,2010
8,2009
9,2008
10,2013
11,2013
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100619:0700,13.73,43.65,269.4,99.64,214.35,336.3,0.9,27.0,98871.0
20100619:0800,13.54,43.9,161.0,32.71,145.65,341.5,0.48,349.0,98871.0
20100619:0900,13.27,46.95,103.6,27.44,93.2,342.25,0.48,270.0,98900.0
20100619:1000,12.65,55.3,64.1,6.77,62.15,340.5,0.9,255.0,99067.0
20100619:1100,12.24,59.5,61.5,18.78,57.7,340.7,1.1,257.0,99067.0
20100619:1200,11.69,63.75,49.0,4.69,48.4,337.65,1.1,272.0,99028.0
20100619:1300,10.91,69.7,26.85,14.3,25.85,329.9,1.03,275.0,99038.0
20100619:1400,9.8,76.55,13.85,0.0,13.85,312.75,1.03,262.0,98969.0
20100619:1500,8.89,81.8,5.7,0.0,5.7,317.4,0.97,249.0,98979.0
20100619:1600,8.52,80.95,4.6,0.0,4.6,316.8,0.76,247.0,98969.0
20100619:1700,8.03,84.2,11.35,2.57,11.2,319.3,0.76,249.0,98979.0
20100619:1800,8.27,80.5,24.4,0.45,24.35,312.15,0.48,266.0,98969.0
20100619:1900,8.32,81.75,44.45,4.39,43.65,312.0,0.55,19.0,98939.0
20100619:2000,8.89,84.25,84.4,10.92,81.5,307.15,0.41,40.0,98930.0
20100619:2100,10.12,73.05,127.8,10.26,124.15,312.15,0.55,51.0,98880.0
20100619:2200,10.89,67.05,163.75,20.25,154.7,314.7,0.76,47.0,98841.0
20100619:2300,11.97,56.95,265.6,70.99,227.8,314.7,0.97,56.0,98812.0
20100620:0000,12.76,48.15,355.95,151.96,263.75,306.4,1.1,57.0,98733.0
20100620:0100,13.19,45.8,375.9,136.05,285.45,310.3,1.24,55.0,98684.0
20100620:0200,13.71,44.45,404.45,152.41,297.35,324.3,1.24,60.0,98635.0
20100620:0300,13.77,44.1,326.4,97.81,256.2,332.4,1.1,71.0,98625.0
20100620:0400,13.99,43.55,294.25,84.72,234.2,340.15,0.69,99.0,98644.0
20100620:0500,13.97,45.05,254.1,33.47,231.45,342.65,0.69,143.0,98654.0
20100620:0600,14.03,45.1,262.75,48.11,232.75,339.55,1.1,165.0,98625.0
20100620:0700,14.29,45.55,313.8,169.55,220.05,338.4,1.24,184.0,98576.0
20100620:0800,14.57,45.25,291.2,228.67,183.8,333.6,1.52,175.0,98576.0
20100620:0900,14.55,45.8,224.1,268.93,122.05,339.15,1.86,171.0,98595.0
20100620:1000,14.3,48.25,173.0,268.85,95.45,335.1,2.07,163.0,98556.0
20100620:1100,13.75,53.3,126.65,243.07,77.35,323.55,2.0,154.0,98585.0
20100620:1200,12.73,58.95,104.3,415.04,51.0,296.15,1.93,151.0,98546.0
20100620:1300,11.38,64.3,60.3,469.29,27.3,273.4,2.07,153.0,98576.0
20100620:1400,10.19,68.3,15.25,0.0,15.25,269.95,2.07,152.0,98595.0
20100620:1500,9.18,72.0,7.3,0.0,7.3,268.4,2.0,147.0,98605.0
20100620:1600,8.35,75.5,6.25,0.0,6.25,266.85,2.0,143.0,98605.0
20100620:1700,7.73,78.8,18.95,112.09,12.4,266.1,1.86,144.0,98615.0
20100620:1800,7.62,80.5,47.55,213.68,23.7,266.1,1.79,150.0,98615.0
20100620:1900,8.57,80.85,97.5,324.58,38.35,270.5,1.52,156.0,98654.0
20100620:2000,10.17,74.65,170.3,454.25,49.7,271.5,1.38,157.0,98654.0
20100620:2100,11.68,67.9,257.1,539.5,65.2,274.2,1.72,163.0,98644.0
20100620:2200,13.26,61.9,357.4,639.88,71.55,277.25,2.07,166.0,98546.0
20100620:2300,15.0,55.3,460.55,728.0,73.0,280.75,2.34,165.0,98517.0
20100621:0000,16.76,47.65,556.2,794.54,74.25,284.8,2.62,167.0,98428.0
20100621:0100,18.15,38.25,610.45,777.74,93.45,293.9,3.1,181.0,98349.0
20100621:0200,18.98,31.65,599.0,600.29,177.2,315.45,3.52,193.0,98281.0
20100621:0300,19.75,27.8,615.15,523.02,239.75,320.1,4.07,198.0,98202.0
20100621:0400,19.79,26.9,490.2,277.44,293.5,328.95,3.86,203.0,98123.0
20100621:0500,19.86,26.7,441.9,184.58,316.95,333.75,3.59,205.0,98074.0
20100621:0600,20.12,26.05,441.65,292.86,258.95,341.3,3.72,203.0,98025.0
20100621:0700,19.98,27.7,370.15,335.91,184.3,343.4,3.1,208.0,98025.0
20100621:0800,19.67,29.2,328.3,264.43,204.0,334.55,3.17,215.0,97966.0
20100621:0900,18.58,35.7,228.55,116.62,184.25,345.9,3.03,233.0,98025.0
20100621:1000,17.17,42.35,153.85,79.46,130.9,341.5,3.31,240.0,98025.0
20100621:1100,15.69,48.6,77.85,19.69,73.85,344.75,2.83,232.0,97976.0
20100621:1200,14.45,54.15,44.4,11.65,42.9,341.1,2.28,214.0,97986.0
20100621:1300,13.4,59.0,28.95,4.25,28.65,333.95,2.21,200.0,97917.0
20100621:1400,12.47,63.85,15.8,0.0,15.8,328.55,2.0,194.0,97877.0
20100621:1500,11.41,69.3,7.65,0.0,7.65,309.65,1.86,187.0,97818.0
20100621:1600,10.75,73.35,6.3,0.0,6.3,313.15,1.72,181.0,97799.0
20100621:1700,10.39,76.2,11.55,1.71,11.45,318.75,1.66,178.0,97789.0
20100621:1800,10.35,77.7,19.05,0.0,19.05,330.3,1.52,179.0,97769.0
20100621:1900,10.8,80.0,26.85,0.0,26.85,344.0,1.38,170.0,97779.0
20100621:2000,10.84,83.3,43.75,0.0,43.75,339.95,0.97,163.0,97740.0
20100621:2100,11.09,86.6,72.55,0.28,72.45,341.1,0.55,146.0,97700.0
20100621:2200,11.42,88.45,91.05,0.45,90.85,343.05,0.34,132.0,97661.0
20100621:2300,12.22,88.25,108.55,0.75,108.15,343.2,0.14,117.0,97691.0
20100622:0000,11.76,89.7,115.3,1.65,114.3,349.2,0.14,336.0,97661.0
20100622:0100,11.79,89.55,103.35,0.53,103.0,352.35,0.48,320.0,97661.0
20100622:0200,12.96,82.85,130.5,0.0,130.5,350.75,0.83,316.0,97641.0
20100622:0300,12.28,91.05,168.5,1.04,167.75,351.3,0.97,319.0,97641.0
20100622:0400,12.12,83.5,178.85,1.62,177.7,349.0,1.03,316.0,97632.0
20100622:0500,12.74,83.1,224.25,10.26,217.3,350.75,1.1,312.0,97612.0
20100622:0600,13.43,76.5,342.95,121.79,266.95,350.55,1.72,312.0,97622.0
20100622:0700,13.46,76.0,294.95,147.78,213.15,338.8,1.93,303.0,97632.0
20100622:0800,13.12,76.1,236.2,189.12,147.25,341.5,2.83,312.0,97700.0
20100622:0900,11.88,83.25,141.9,97.2,104.95,344.0,3.45,325.0,97740.0
20100622:1000,10.99,88.35,128.75,56.2,112.5,338.0,4.0,334.0,97759.0
20100622:1100,10.07,89.5,61.0,26.3,55.65,345.75,3.86,336.0,97838.0
20100622:1200,9.19,89.35,21.2,1.94,20.95,350.15,3.59,335.0,97887.0
20100622:1300,8.39,88.95,7.65,0.0,7.65,347.85,3.38,333.0,97966.0
20100622:1400,7.73,88.7,3.6,0.0,3.6,343.2,3.03,333.0,98035.0
20100622:1500,7.14,89.05,1.6,0.0,1.6,337.65,2.69,334.0,98074.0
20100622:1600,6.67,89.5,1.55,0.0,1.55,335.5,2.41,335.0,98113.0
20100622:1700,6.28,89.8,4.0,4.3,3.75,330.9,2.21,334.0,98163.0
20100622:1800,6.01,89.8,10.6,14.83,8.95,326.65,2.0,335.0,98222.0
20100622:1900,5.6,96.45,14.2,4.95,13.3,330.5,2.76,336.0,98281.0
20100622:2000,5.43,97.6,35.75,29.25,28.0,328.35,2.48,338.0,98340.0
20100622:2100,5.5,96.4,66.3,21.12,58.8,326.05,2.21,334.0,98408.0
20100622:2200,5.71,91.15,90.35,51.67,67.3,322.4,2.28,331.0,98379.0
20100622:2300,6.6,80.65,201.15,104.73,145.45,314.7,3.1,337.0,98477.0
20100623:0000,7.75,72.45,286.15,93.24,229.65,321.05,2.97,338.0,98487.0
20100623:0100,8.62,65.4,263.15,60.59,222.9,329.75,2.83,340.0,98487.0
20100623:0200,9.26,60.75,273.15,58.16,232.3,330.7,2.41,344.0,98448.0
20100623:0300,9.99,57.55,326.75,120.12,240.55,333.95,2.14,352.0,98448.0
20100623:0400,10.44,55.35,329.15,68.76,280.4,333.95,1.79,5.0,98467.0
20100623:0500,11.02,53.35,370.3,194.2,238.8,332.6,1.38,20.0,98497.0
20100623:0600,11.19,53.1,356.95,243.93,204.7,320.45,1.17,23.0,98517.0
20100623:0700,11.65,52.65,382.45,418.47,150.75,322.95,1.59,358.0,98536.0
20100623:0800,11.76,52.45,346.75,418.89,149.65,309.45,1.86,359.0,98556.0
20100623:0900,11.45,54.2,256.0,355.85,120.65,314.5,2.0,6.0,98595.0
20100623:1000,11.13,55.95,186.25,319.38,93.85,309.85,1.93,16.0,98585.0
20100623:1100,10.7,59.25,135.8,320.01,70.65,306.6,1.52,28.0,98703.0
20100623:1200,9.93,66.35,101.6,391.36,51.1,279.8,1.17,36.0,98733.0
20100623:1300,9.13,72.5,51.1,310.29,29.15,290.0,1.1,39.0,98743.0
20100623:1400,7.83,79.4,14.55,0.0,14.55,271.1,0.83,37.0,98812.0
20100623:1500,7.98,72.55,6.95,0.0,6.95,275.9,0.55,30.0,98831.0
20100623:1600,7.27,75.85,5.95,0.0,5.95,265.5,0.34,28.0,98851.0
20100623:1700,6.65,78.9,18.5,107.11,12.3,256.85,0.28,11.0,98871.0
20100623:1800,6.19,81.25,47.35,216.94,23.3,253.95,0.07,338.0,98880.0
20100623:1900,6.03,85.25,99.45,349.37,36.1,253.95,0.28,271.0,98939.0
20100623:2000,7.29,88.6,173.3,474.14,47.9,255.65,0.21,226.0,98939.0
20100623:2100,9.13,73.6,264.6,584.38,57.35,258.55,0.21,194.0,98969.0
20100623:2200,10.34,64.35,366.15,675.34,65.15,261.65,0.41,238.0,98910.0
20100623:2300,11.37,58.0,462.35,730.87,73.95,265.1,0.69,259.0,98900.0
20100624:0000,12.34,51.25,517.1,694.84,96.35,285.0,0.55,270.0,98821.0
20100624:0100,13.03,46.7,494.55,474.99,179.2,308.55,0.21,227.0,98772.0
20100624:0200,13.52,43.55,419.55,270.06,229.95,330.5,0.41,162.0,98743.0
20100624:0300,13.74,42.1,341.0,92.21,274.85,334.15,0.62,158.0,98684.0
20100624:0400,14.16,40.95,379.95,167.87,260.95,330.5,0.69,167.0,98635.0
20100624:0500,14.66,39.2,413.05,304.77,206.7,333.0,0.55,164.0,98566.0
20100624:0600,14.88,38.15,355.25,177.68,244.35,331.05,0.55,156.0,98536.0
20100624:0700,14.52,40.5,243.95,143.57,164.45,337.05,0.83,138.0,98477.0
20100624:0800,14.35,42.1,205.8,80.11,168.1,333.95,1.17,110.0,98428.0
20100624:0900,13.95,46.65,156.45,58.35,134.25,337.05,1.66,89.0,98399.0
20100624:1000,13.36,51.95,131.95,19.7,126.25,329.7,1.86,84.0,98271.0
20100624:1100,12.54,56.25,106.5,103.38,85.45,318.35,2.0,88.0,98231.0
20100624:1200,11.59,60.2,99.65,340.65,55.7,287.9,2.0,92.0,98192.0
20100624:1300,10.49,63.45,52.8,324.15,29.9,283.25,1.93,92.0,98163.0
20100624:1400,9.51,66.95,15.15,0.0,15.15,291.95,1.79,84.0,98153.0
20100624:1500,8.46,72.4,7.2,0.0,7.2,300.0,1.52,81.0,98113.0
20100624:1600,7.64,78.2,4.25,0.0,4.25,312.35,1.24,77.0,98104.0
20100624:1700,7.26,81.65,6.85,0.0,6.85,323.95,1.03,71.0,98084.0
20100624:1800,7.16,83.25,18.2,0.0,18.2,323.55,0.97,49.0,98035.0
20100624:1900,8.08,87.0,48.6,37.89,41.75,321.6,0.9,43.0,98045.0
20100624:2000,8.9,81.0,63.6,12.12,60.4,326.25,1.03,38.0,98025.0
20100624:2100,9.5,78.6,101.0,28.52,90.9,330.3,1.1,35.0,98045.0
20100624:2200,9.85,75.7,125.8,66.6,96.15,326.85,1.17,41.0,97976.0
20100624:2300,10.57,71.25,211.75,113.01,151.75,324.3,1.1,51.0,98005.0
20100625:0000,11.83,64.35,391.75,353.3,178.0,309.45,1.1,65.0,97976.0
20100625:0100,13.07,56.45,545.0,572.61,165.1,302.4,1.45,59.0,97966.0
20100625:0200,13.68,52.6,509.1,479.91,172.35,309.45,1.45,41.0,97986.0
20100625:0300,13.91,50.35,380.5,313.97,155.35,321.6,1.52,29.0,97995.0
20100625:0400,14.17,48.7,336.15,99.2,265.85,345.15,1.38,17.0,98035.0
20100625:0500,14.66,47.05,408.05,270.77,224.75,332.25,1.31,11.0,98054.0
20100625:0600,15.0,46.05,411.25,299.55,224.3,329.15,1.24,4.0,98094.0
20100625:0700,15.52,43.3,387.4,354.33,191.2,327.4,1.24,1.0,98123.0
20100625:0800,15.65,43.15,343.75,451.96,131.05,319.7,0.97,349.0,98143.0
20100625:0900,15.57,44.4,245.65,315.69,125.55,331.05,0.83,342.0,98182.0
20100625:1000,15.49,45.95,231.25,446.0,102.2,316.8,0.69,320.0,98172.0
20100625:1100,14.97,53.05,167.65,545.82,56.55,310.65,0.62,288.0,98261.0
20100625:1200,14.08,59.9,94.3,339.08,50.6,313.7,1.38,279.0,98330.0
20100625:1300,12.79,65.95,39.25,166.11,27.55,309.85,1.66,286.0,98408.0
20100625:1400,11.63,74.25,12.55,0.0,12.55,318.55,1.31,287.0,98448.0
20100625:1500,10.58,80.25,5.1,0.0,5.1,314.85,1.24,265.0,98507.0
20100625:1600,9.51,84.65,5.4,0.0,5.4,302.15,1.45,254.0,98526.0
20100625:1700,8.34,89.65,16.7,86.94,11.75,282.65,1.45,252.0,98585.0
20100625:1800,7.7,93.0,37.45,136.17,22.5,282.65,1.24,249.0,98625.0
20100625:1900,8.48,95.9,90.15,290.56,37.8,280.95,0.62,240.0,98654.0
20100625:2000,10.39,91.0,158.65,392.94,55.2,282.65,0.34,232.0,98694.0
20100625:2100,12.38,77.85,251.65,536.01,62.2,282.1,0.41,235.0,98694.0
20100625:2200,13.56,66.9,348.3,620.87,72.3,284.6,0.48,228.0,98733.0
20100625:2300,14.72,58.1,454.7,712.47,76.85,288.05,0.76,208.0,98723.0
20100626:0000,15.74,52.0,534.95,725.02,96.75,293.85,1.17,206.0,98664.0
20100626:0100,16.83,45.65,569.05,657.55,133.15,302.0,1.86,222.0,98644.0
20100626:0200,17.25,44.0,455.2,336.76,219.05,333.75,1.93,225.0,98595.0
20100626:0300,17.12,45.05,272.2,46.95,238.55,360.95,1.86,228.0,98566.0
20100626:0400,17.53,44.55,329.6,124.65,241.3,364.6,1.79,227.0,98556.0
20100626:0500,17.72,44.85,290.35,44.63,260.15,366.15,1.45,229.0,98566.0
20100626:0600,17.74,46.2,206.35,28.29,188.7,367.3,1.17,227.0,98585.0
20100626:0700,18.03,45.0,240.65,103.14,183.55,360.75,1.38,230.0,98566.0
20100626:0800,18.06,46.35,217.0,82.15,178.35,364.05,1.24,231.0,98635.0
20100626:0900,18.11,46.55,249.5,257.15,151.7,356.55,1.17,223.0,98615.0
20100626:1000,17.94,48.65,262.0,652.99,73.15,317.0,0.97,210.0,98595.0
20100626:1100,17.32,57.05,189.95,685.98,50.45,308.3,0.76,190.0,98625.0
20100626:1200,16.17,67.8,106.85,517.39,40.3,307.75,0.9,184.0,98635.0
20100626:1300,14.79,72.2,52.85,368.73,27.0,309.1,1.1,193.0,98664.0
20100626:1400,13.48,75.3,14.75,0.0,14.75,310.25,1.38,203.0,98684.0
20100626:1500,12.16,80.15,6.15,0.0,6.15,313.5,1.52,203.0,98733.0
20100626:1600,11.32,82.6,5.0,0.0,5.0,319.7,1.59,197.0,98753.0
20100626:1700,10.73,84.3,13.3,55.07,10.2,315.45,1.59,191.0,98772.0
20100626:1800,10.72,84.9,36.15,136.13,21.3,317.4,1.59,185.0,98792.0
20100626:1900,11.39,86.1,78.4,229.06,37.3,314.7,1.38,191.0,98831.0
20100626:2000,13.04,80.4,134.2,303.79,54.45,320.65,1.17,187.0,98871.0
20100626:2100,14.83,72.05,238.15,506.53,59.5,305.05,1.38,194.0,98861.0
20100626:2200,16.41,65.15,339.8,618.73,65.2,308.9,1.72,207.0,98861.0
20100626:2300,17.69,59.9,417.6,607.65,95.75,316.2,1.93,215.0,98851.0
20100627:0000,18.96,54.45,524.75,726.69,86.05,319.9,2.14,218.0,98831.0
20100627:0100,19.84,49.95,557.4,671.76,112.5,324.55,2.41,223.0,98802.0
20100627:0200,20.76,45.2,636.0,789.64,82.7,334.75,2.55,235.0,98772.0
20100627:0300,21.04,43.5,528.3,545.72,137.4,352.3,2.34,239.0,98792.0
20100627:0400,21.31,42.05,512.55,526.54,139.75,335.1,2.14,240.0,98772.0
20100627:0500,21.44,41.55,464.2,469.23,146.8,356.15,1.93,238.0,98762.0
20100627:0600,21.34,41.8,344.35,368.7,114.4,359.4,1.72,232.0,98753.0
20100627:0700,21.84,40.2,393.1,468.4,133.9,358.65,2.07,228.0,98713.0
20100627:0800,21.61,41.6,296.45,355.31,129.35,351.3,1.86,221.0,98743.0
20100627:0900,21.29,45.15,231.2,272.29,127.7,352.3,1.45,219.0,98733.0
20100627:1000,20.97,49.7,209.35,316.13,118.0,344.95,1.24,216.0,98703.0
20100627:1100,20.06,56.1,122.95,201.17,82.1,347.65,1.24,199.0,98743.0
20100627:1200,19.16,58.9,87.8,273.27,52.75,342.45,1.52,199.0,98772.0
20100627:1300,17.68,63.55,53.0,332.33,29.85,319.3,1.72,215.0,98762.0
20100627:1400,16.13,68.8,15.2,0.0,15.2,319.1,1.79,230.0,98782.0
20100627:1500,14.63,74.75,6.5,0.0,6.5,317.0,1.66,236.0,98802.0
20100627:1600,13.37,79.7,5.05,0.0,5.05,317.4,1.66,242.0,98821.0
20100627:1700,12.32,84.45,15.6,78.34,11.25,311.8,1.52,254.0,98861.0
20100627:1800,11.93,87.35,40.0,163.02,22.35,310.25,1.31,278.0,98890.0
20100627:1900,13.92,79.5,85.95,298.19,32.7,309.3,2.0,323.0,98969.0
20100627:2000,14.75,76.45,152.4,380.84,52.75,306.4,2.34,338.0,99038.0
20100627:2100,15.01,73.6,222.6,464.55,59.15,312.35,2.97,349.0,99067.0
20100627:2200,15.53,71.05,325.85,586.35,66.1,319.5,2.97,354.0,99116.0
20100627:2300,16.05,68.2,403.3,597.47,87.3,317.0,2.9,354.0,99077.0
20100628:0000,16.59,64.6,442.1,511.77,133.55,326.25,2.9,354.0,99077.0
20100628:0100,16.95,61.05,440.3,418.31,163.55,329.75,2.9,352.0,99097.0
20100628:0200,17.61,56.2,527.55,552.01,141.1,330.7,2.97,349.0,99077.0
20100628:0300,17.63,53.4,405.4,271.25,211.25,342.05,2.83,346.0,99067.0
20100628:0400,17.97,50.25,470.25,425.4,169.25,339.35,2.83,342.0,99077.0
20100628:0500,17.84,48.5,360.95,197.18,227.65,356.15,2.97,335.0,99077.0
20100628:0600,18.06,46.0,379.85,182.48,266.1,350.95,2.97,338.0,99107.0
20100628:0700,19.03,41.45,392.4,366.59,189.65,340.5,3.03,353.0,99116.0
20100628:0800,18.91,41.45,321.65,332.66,165.3,354.2,2.97,4.0,99126.0
20100628:0900,18.4,43.8,244.0,221.83,159.75,340.9,2.55,14.0,99136.0
20100628:1000,18.03,46.15,233.4,469.5,97.9,325.1,2.34,18.0,99116.0
20100628:1100,17.19,51.8,155.5,401.93,74.05,321.45,1.86,15.0,99166.0
20100628:1200,15.91,58.55,82.4,202.31,56.55,315.85,1.79,6.0,99215.0
20100628:1300,14.73,63.8,40.75,84.66,34.9,320.45,1.86,7.0,99225.0
20100628:1400,13.58,68.6,15.5,0.0,15.5,313.5,1.79,8.0,99284.0
20100628:1500,12.48,73.5,6.25,0.0,6.25,307.15,1.72,2.0,99303.0
20100628:1600,11.61,77.45,4.95,0.0,4.95,303.5,1.72,355.0,99343.0
20100628:1700,11.03,80.7,13.0,11.89,12.35,308.3,1.52,342.0,99343.0
20100628:1800,10.63,83.65,30.3,60.09,23.85,306.75,1.31,319.0,99333.0
20100628:1900,10.74,82.3,77.55,147.79,51.3,288.65,1.1,317.0,99352.0
20100628:2000,12.19,74.25,140.75,257.01,73.75,289.8,0.83,323.0,99392.0
20100628:2100,13.44,65.9,226.9,366.49,98.3,288.85,1.31,340.0,99402.0
20100628:2200,14.48,59.15,332.7,543.0,92.65,291.15,1.66,350.0,99362.0
20100628:2300,15.26,53.5,402.9,488.13,145.15,297.9,2.07,354.0,99392.0
20100629:0000,15.89,48.75,464.7,514.09,155.2,302.9,2.21,354.0,99392.0
20100629:0100,16.47,44.95,523.05,571.2,145.6,310.1,2.14,352.0,99362.0
20100629:0200,16.77,42.7,542.2,548.49,158.6,307.75,2.21,348.0,99333.0
20100629:0300,17.03,41.65,517.65,486.96,169.4,316.8,2.07,350.0,99333.0
20100629:0400,17.66,40.5,648.7,730.67,132.1,322.6,1.72,355.0,99313.0
20100629:0500,17.9,39.45,588.45,626.74,165.05,319.5,1.45,7.0,99313.0
20100629:0600,18.17,39.1,554.4,675.54,133.6,317.55,1.1,31.0,99293.0
20100629:0700,17.33,43.35,458.1,566.62,144.95,326.25,0.97,45.0,99254.0
20100629:0800,16.49,47.7,286.25,366.38,114.2,325.1,0.28,25.0,99274.0
20100629:0900,15.26,54.55,174.05,180.83,105.45,335.3,1.24,287.0,99352.0
20100629:1000,14.86,62.0,176.55,296.73,91.05,327.8,1.59,308.0,99313.0
20100629:1100,14.36,68.25,137.1,347.81,66.8,316.6,1.38,317.0,99362.0
20100629:1200,13.68,74.85,100.45,398.26,49.8,298.1,1.24,309.0,99382.0
20100629:1300,12.92,79.6,48.75,327.41,26.35,307.95,1.1,309.0,99382.0
20100629:1400,11.65,88.25,12.8,0.0,12.8,300.0,0.83,298.0,99382.0
20100629:1500,10.92,88.3,5.6,0.0,5.6,300.6,0.76,295.0,99411.0
20100629:1600,10.22,89.7,4.6,0.0,4.6,285.55,0.69,309.0,99392.0
20100629:1700,9.82,91.15,13.6,56.84,10.55,294.65,0.62,316.0,99441.0
20100629:1800,9.49,92.65,41.95,188.14,21.95,285.55,0.48,296.0,99490.0
20100629:1900,7.87,95.85,79.35,218.06,40.85,307.35,0.21,123.0,99500.0
20100629:2000,8.77,92.75,125.4,205.29,72.1,308.1,0.34,144.0,99520.0
20100629:2100,10.34,88.25,207.25,327.71,92.6,307.95,0.34,147.0,99510.0
20100629:2200,12.2,78.4,310.45,478.83,99.25,301.2,0.55,161.0,99510.0
20100629:2300,13.98,68.25,407.95,559.96,112.8,305.6,0.9,188.0,99529.0
20100630:0000,15.56,58.15,524.3,699.4,103.9,302.55,1.03,203.0,99451.0
20100630:0100,16.69,48.9,565.35,717.35,91.95,305.65,1.1,223.0,99392.0
20100630:0200,17.49,44.0,542.6,573.51,141.95,327.0,1.24,230.0,99372.0
20100630:0300,18.47,39.95,652.7,773.19,100.3,315.65,1.31,231.0,99352.0
20100630:0400,18.96,37.5,567.75,603.42,141.5,313.5,1.24,227.0,99323.0
20100630:0500,19.72,35.1,644.2,810.89,96.85,312.15,1.31,228.0,99303.0
20100630:0600,20.24,33.25,591.8,786.4,102.35,313.15,1.38,223.0,99254.0
20100630:0700,20.7,28.8,367.75,343.92,177.85,338.0,1.24,212.0,99195.0
20100630:0800,20.81,28.65,332.4,293.98,194.5,341.7,1.38,204.0,99166.0
20100630:0900,20.88,29.3,299.85,396.34,149.7,341.7,1.38,209.0,99166.0
20100630:1000,20.46,35.25,230.75,478.5,93.15,331.65,1.03,203.0,99136.0
20100630:1100,19.25,53.1,124.05,267.76,70.1,338.0,0.9,212.0,99175.0
20100630:1200,18.27,52.7,67.55,196.89,42.65,338.2,1.03,225.0,99175.0
20100630:1300,17.25,52.35,32.0,136.06,22.8,349.95,1.52,212.0,99185.0
20100630:1400,15.93,55.3,12.55,0.0,12.55,342.25,1.86,206.0,99205.0
20100630:1500,14.75,58.65,4.4,0.0,4.4,336.85,2.0,209.0,99195.0
20100630:1600,11.98,68.88,3.6,0.0,3.6,314.37,1.86,212.0,99195.0
20100630:1700,12.87,66.38,10.0,38.06,8.0,317.76,1.81,213.0,99215.0
20100630:1800,13.76,63.87,25.65,18.07,23.75,321.15,1.76,216.0,99205.0
20100630:1900,14.65,61.37,57.75,33.07,51.95,324.54,1.72,201.0,99215.0
20100630:2000,15.55,58.86,105.0,94.79,80.5,327.93,1.67,198.0,99215.0
20100630:2100,16.44,56.36,179.0,166.19,121.05,331.32,1.62,201.0,99215.0
20100630:2200,17.33,53.85,233.1,178.42,154.6,334.71,1.58,205.0,99215.0
20100630:2300,18.23,51.35,296.75,211.29,185.6,338.1,1.53,215.0,99234.0
20100701:0000,19.12,48.84,371.5,311.73,184.45,341.5,1.49,230.0,99215.0
20100701:0100,20.01,46.34,517.55,528.47,169.3,344.89,1.44,250.0,99215.0
20100701:0200,20.91,43.83,567.25,654.77,110.4,348.28,1.39,279.0,99166.0
20100701:0300,21.8,41.33,482.05,463.45,151.3,351.67,1.35,292.0,99166.0
20100701:0400,22.69,38.83,457.55,432.84,152.1,355.06,1.3,292.0,99166.0
20100701:0500,23.59,36.32,450.2,359.83,207.55,358.45,1.25,295.0,99156.0
20100701:0600,24.48,33.82,476.6,462.14,189.25,361.84,1.21,292.0,99156.0
20100701:0700,25.37,31.31,400.1,499.76,124.45,365.23,1.16,351.0,99156.0
20100701:0800,24.27,34.6,469.65,825.0,83.15,335.1,0.41,51.0,99126.0
20100701:0900,24.2,34.8,376.6,823.49,65.15,332.25,0.34,91.0,99156.0
20100701:1000,23.72,39.15,279.1,761.63,60.6,329.9,0.9,78.0,99107.0
20100701:1100,22.72,46.5,190.35,701.91,49.45,328.35,1.52,72.0,99116.0
20100701:1200,21.26,51.95,112.45,591.78,38.1,324.15,1.79,80.0,99136.0
20100701:1300,19.64,58.45,55.65,450.51,25.6,319.9,1.72,88.0,99156.0
20100701:1400,17.68,68.65,13.45,0.0,13.45,316.05,1.45,94.0,99136.0
20100701:1500,15.77,76.45,5.4,0.0,5.4,312.55,1.17,97.0,99175.0
20100701:1600,15.05,74.85,4.35,0.0,4.35,310.45,1.1,96.0,99195.0
20100701:1700,13.46,81.8,13.9,41.88,11.75,308.7,1.1,101.0,99205.0
20100701:1800,12.79,84.85,37.7,101.54,27.15,307.75,1.03,112.0,99205.0
20100701:1900,13.2,83.85,82.25,215.08,44.8,306.6,1.03,129.0,99234.0
20100701:2000,15.33,74.75,148.7,326.02,64.85,309.1,0.83,142.0,99284.0
20100701:2100,17.8,63.5,238.5,471.26,74.75,308.7,0.9,146.0,99234.0
20100701:2200,19.94,53.25,319.05,478.81,108.95,315.05,1.03,147.0,99284.0
20100701:2300,21.37,45.8,354.45,295.56,199.3,330.1,1.24,152.0,99215.0
20100702:0000,22.79,39.8,419.6,283.35,249.9,340.15,1.52,158.0,99234.0
20100702:0100,24.16,35.15,498.55,382.48,246.9,341.55,1.72,158.0,99234.0
20100702:0200,25.66,29.85,638.75,700.08,150.95,336.45,1.93,159.0,99195.0
20100702:0300,26.47,26.7,668.85,747.9,135.75,335.3,2.14,150.0,99166.0
20100702:0400,27.11,25.2,704.05,841.55,110.85,333.75,2.48,142.0,99126.0
20100702:0500,27.56,24.2,688.9,884.79,92.9,333.95,2.62,139.0,99097.0
20100702:0600,27.85,23.55,645.85,912.86,78.9,332.8,2.69,138.0,99048.0
20100702:0700,28.29,22.9,561.95,849.93,93.75,336.1,2.55,139.0,98989.0
20100702:0800,28.09,23.2,450.65,684.83,130.3,341.85,2.62,138.0,98989.0
